Number Azerbaijani
in English
1 kimi as
2 mən I
3 onun his
4 o that
5 belə he
6 idi was
7 üçün for
8 on on
9 var are
10 ilə with
11 onlar they
12 olmaq be
13 at at
14 bir one
15 var have
16 bu this
17 dən from
18 tərəfindən by
19 isti hot
20 word word
21 lakin but
22 nə what
23 bəzi some
24 edir is
25 vaxt it
26 siz you
27 və ya or
28 idi had
29 bu the
30 və of
31 qədər to
32 və and
33 a a
34 da in
35 biz we
36 bilərsiniz can
37 həyata out
38 digər other
39 idi were
40 hansı which
41 etmək do
42 onların their
43 vaxt time
44 əgər if
45 olacaq will
46 necə how
47 bildirib said
48 bir an
49 hər each
50 demək tell
51 yoxdur does
52 dəst set
53 üç three
54 istəyirəm want
55 hava air
56 quyu well
57 də also
58 oynamaq play
59 kiçik small
60 son end
61 qoymaq put
62 ev home
63 oxumaq read
64 əl hand
65 port port
66 böyük large
67 sehr spell
68 əlavə etmək add
69 hətta even
70 torpaq land
71 burada here
72 lazımdır must
73 böyük big
74 yüksək high
75 belə such
76 izləmək follow
77 akt act
78 niyə why
79 soruşmaq ask
80 men men
81 dəyişiklik change
82 getdi went
83 yüngül light
84 cür kind
85 off off
86 ehtiyac need
87 ev house
88 şəkil picture
89 çalışmaq try
90 us us
91 yenidən again
92 heyvan animal
93 nöqtə point
94 ana mother
95 dünya world
96 yaxın near
97 qurmaq build
98 özü self
99 torpaq earth
100 ata father
101 hər hansı bir any
102 yeni new
103 iş work
104 hissə part
105 almaq take
106 almaq get
107 yer place
108 etdi made
109 yaşamaq live
110 harada where
111 sonra after
112 geri back
113 az little
114 yalnız only
115 dəyirmi round
116 man man
117 il year
118 gəldi came
119 göstərmək show
120 hər every
121 yaxşı good
122 me me
123 vermək give
124 bizim our
125 altında under
126 adı name
127 çox very
128 vasitəsilə through
129 yalnız just
130 form form
131 cümlə sentence
132 böyük great
133 düşünmək think
134 demək say
135 kömək help
136 aşağı low
137 line line
138 fərqlənir differ
139 çevirmək turn
140 səbəb cause
141 çox much
142 orta mean
143 əvvəl before
144 gediş move
145 sağ right
146 oğlan boy
147 köhnə old
148 çox too
149 eyni same
150 o she
151 bütün all
152 orada there
153 zaman when
154 up up
155 istifadə use
156 Sizin your
157 yol way
158 haqqında about
159 çox many
160 sonra then
161 onlara them
162 yazmaq write
163 ki would
164 kimi like
165 belə so
166 bu these
167 öz her
168 uzun long
169 etmək make
170 şey thing
171 görmək see
172 ona him
173 iki two
174 var has
175 baxmaq look
176 daha more
177 gün day
178 bilər could
179 getmək go
180 gəlmək come
181 etdi did
182 sayı number
183 səs sound
184 heç bir no
185 ən most
186 xalq people
187 mənim my
188 üzərində over
189 öyrənmək know
190 su water
191 daha than
192 zəng edin call
193 ilk first
194 kim who
195 may may
196 aşağı down
197 side side
198 olmuşdur been
199 indi now
200 tapmaq find
201 baş head
202 durmaq stand
203 öz own
204 səhifə page
205 olmalıdır should
206 ölkə country
207 aşkar found
208 cavab answer
209 məktəb school
210 böyümək grow
211 təhsil study
212 hələ still
213 öyrənmək learn
214 bitki plant
215 qapaq cover
216 qida food
217 sun sun
218 dörd four
219 arasında between
220 dövlət state
221 saxlamaq keep
222 göz eye
223 heç never
224 Sonuncu last
225 qoy let
226 fikir thought
227 şəhər city
228 ağac tree
229 keçmək cross
230 təsərrüfat farm
231 hard hard
232 start start
233 bilər might
234 hekayə story
